brush hair,"Characteristic motion of brushing hair is: holding a brush or comb, running it through the hair from roots to ends, often using the other hand to smooth or hold the hair."
cartwheel,"Characteristic motion of cartwheel is: doing a sideways rotary movement, with hands and feet taking turns touching the ground, resembling the motion of a turning wheel."
catch,"Characteristic motion of catch is: extending the hands to receive an object, closing the fingers around it to secure it, and pulling it towards the body."
chew,"Characteristic motion of chew is: moving the jaw up and down, grinding food between the teeth."
clap,"Characteristic motion of clapping is: bringing both hands together repeatedly in a rhythmic manner, creating a sound."
climb,"Characteristic motion of climbing is: using hands and feet to ascend a vertical or near-vertical object, often shifting weight and adjusting grip for balance and leverage."
climb stairs,"Characteristic motion of climbing stairs is: stepping up onto each stair one at a time, using the leg muscles to push the body upwards, often using the handrail for balance and support."
dive,"Characteristic motion of dive is: bending at the waist, extending arms forward, and propelling oneself into the water headfirst."
draw sword,"Characteristic motion of draw sword is: swiftly and smoothly pulling the sword from its sheath, often followed by a precise, controlled swing or thrust."
dribble,Characteristic motion of dribbling is: continuously tapping or bouncing the ball with one hand while moving.
drink,"Characteristic motion of drinking is: lifting a glass or cup to the lips, tilting the head back slightly, and swallowing the liquid."
eat,"Characteristic motion of eating is: lifting food to the mouth, chewing it thoroughly, and swallowing it down."
fall floor,"Characteristic motion of falling on the floor is: losing balance, flailing arms in an attempt to regain stability, and collapsing onto the ground."
fencing,"Characteristic motion of fencing is: lunging, parrying, and thrusting with a sword, maintaining a defensive stance, and moving swiftly and strategically on the balls of the feet."
flic flac,"Characteristic motion of flic flac is: doing a series of quick, acrobatic flips and handsprings, typically moving backwards."
golf,"Characteristic motion of golf is: swinging the club back and forth, hitting the golf ball, and walking or driving a cart to follow the ball's trajectory."
handstand,"Characteristic motion of handstand is: balancing the body upside down, supporting the body weight on the hands, with legs extended straight up in the air."
hit,Characteristic motion of hit is: forcefully striking or delivering a blow to something or someone.
hug,Characteristic motion of hug is: wrapping arms around another person and squeezing tightly.
jump,"Characteristic motion of jump is: propelling the body upwards off the ground, typically by using the legs and feet, and landing back on the ground."
kick,"Characteristic motion of kick is: swinging the leg back and then swiftly extending it forward, making contact with the foot or lower leg."
kick ball,"Characteristic motion of kick ball is: running towards the ball, swinging the leg back, and forcefully kicking the ball with the foot."
kiss,"Characteristic motion of a kiss is: leaning in towards another person, puckering the lips, and making gentle contact with their lips."
laugh,"Characteristic motion of laughing is: contracting the diaphragm and facial muscles, often accompanied by vocal sounds and body movements such as bending over or clapping hands."
pick,"Characteristic motion of pick is: reaching out, grasping an object between the thumb and fingers, and lifting it up."
pour,Characteristic motion of pour is: tilting a container and allowing a liquid to flow out steadily.
pullup,"Characteristic motion of pullup is: gripping a bar overhead and using upper body strength to lift the body until the chin is above the bar, then lowering the body back down."
punch,"Characteristic motion of punch is: swiftly extending the arm and fist towards a target with force and speed, then quickly retracting it back to the starting position."
push,Characteristic motion of push is: applying force to an object in order to move it away from oneself.
pushup,Characteristic motion of pushup is: lowering and raising the body using the arms while keeping the body straight and rigid.
ride bike,"Characteristic motion of riding a bike is: pedaling with the feet, steering with the hands, and balancing the body on the seat while moving forward."
ride horse,"Characteristic motion of riding a horse is: sitting upright on the horse's back, gripping with the knees, and moving in rhythm with the horse's strides, often rising and falling in the saddle in a motion known as posting."
run,"Characteristic motion of running is: moving swiftly with both feet off the ground during each stride, pumping the arms back and forth, and breathing heavily."
shake hands,"Characteristic motion of shaking hands is: extending one's arm and firmly grasping another person's hand, moving it up and down in a brief, rhythmic motion."
shoot ball,"Characteristic motion of shooting a ball is: extending the arm and hand, aiming at the target, and releasing the ball in a swift, fluid motion."
shoot bow,"Characteristic motion of shooting a bow is: standing with one arm extended straight ahead, pulling back the bowstring with the other hand, aiming, and releasing the string to launch the arrow."
shoot gun,"Characteristic motion of shooting a gun is: holding the firearm firmly with both hands, aiming at the target, pulling the trigger, and managing the recoil."
sit,"Characteristic motion of sit is: bending the knees and lowering the body onto a chair or other surface, with the back straight or leaning against a support."
situp,"Characteristic motion of situp is: repeatedly bending the body at the waist, lifting the upper body towards the knees, and then lowering it back down."
smile,"Characteristic motion of smile is: curving the corners of the mouth upwards, often accompanied by a slight squinting of the eyes."
smoke,"Characteristic motion of smoke is: rising and swirling in the air, constantly changing shape and direction."
somersault,Characteristic motion of somersault is: tucking the body into a ball shape and rolling forward or backward in a continuous motion.
stand,"Characteristic motion of standing is: maintaining an upright position, balancing the body weight on both feet, and occasionally shifting weight from one foot to another."
swing baseball,"Characteristic motion of swing baseball is: standing in a batting stance, gripping the bat tightly, and swinging it with force towards the incoming ball."
sword,"Characteristic motion of using a sword is: swinging, thrusting, and parrying with the weapon, often in a rhythmic and precise manner."
sword exercise,"Characteristic motion of sword exercise is: swinging and thrusting the sword in precise, controlled movements, often in combination with footwork and body positioning."
talk,"Characteristic motion of talk is: moving the lips and tongue, often accompanied by hand gestures and facial expressions to convey thoughts and ideas."
throw,Characteristic motion of throw is: extending the arm and hand swiftly to release an object with force.
turn,Characteristic motion of turn is: rotating or revolving around a central point or axis.
walk,Characteristic motion of walk is: moving forward by taking steps in which one foot is always on the ground.
wave,"Characteristic motion of wave is: moving hand back and forth in a repeated motion, often to greet or acknowledge someone."
